Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-CN-5356-01A,0,0,0.0124414889600796,2.1752922530577e-05,0.00177029653870867,0.963807529492468,0,0,0,0.0219589320862127,0,0.648602021332445,0.770711014044751
TCGA-CV-7406-01A,0,0,0.225459792964952,0.00833444821411071,0,0.516517665168077,0,0,0.200834507149928,0.0488535865029324,0,0.251938536625143,0.987960095397856
TCGA-CV-6943-11A,0,0,0,0.00637036939515152,0,0.969528656299268,0,0.00579614507845667,0.0183048292271233,0,0,0.415381960277898,0.977758511743725
TCGA-CQ-5324-01A,0.00449869234636068,0,0.0220759541327113,0.000262317999831166,0,0.953917157700759,0,0.00505250211196086,0,0.0141933757083771,0,0.596607168590299,0.819391937434288
TCGA-CQ-5333-01A,0,0,0.0242593636240942,0.122890013563424,0,0.761657600611822,0,0,0.09119302220066,0,0,0.79751669884833,0.628656466678231
TCGA-CN-4737-01A,0,0,0.0548240416082453,0.00452741197029569,0,0.865118912299088,0,0,0.0568235085213708,0.0187061256010001,0,0.631617183420921,0.777681734884196
TCGA-C9-A480-01A,0.00164654145355401,0,0,0,0,0.992864512939453,0,0.00208535072441469,0.00340359488257831,0,0,0.786787678761775,0.617177312467051
TCGA-D6-6824-01A,0,0,0.221171289881287,0.184842027803087,0.0033382795483138,0.486637165716033,0,0,0,0.10401123705128,0,0.402621280705414,0.916045879002113
TCGA-CN-A63T-01A,0.000115827604644774,0,0.0381820260991129,0.0520271663428619,0.0010211596807974,0.884734046012842,0,0.00322268069948955,0,0.0206970935602516,0,0.655620252316486,0.756960403701369
TCGA-CV-7252-01A,0.00807015140362077,0,0.00559384222862067,0,0,0.975956343787141,0.000315082458979549,0,0,0.0100645801216376,0,0.772703651821166,0.634726004028051
TCGA-CV-7255-11A,0,0.000679558226480512,0.029885584796675,0.0249577820568549,0,0.905336077768457,0.00265274883437076,0.0191512815212902,0.010763545609758,0.0065734211861132,0,0.498231194927391,0.895989646116106
TCGA-CV-6003-01A,0.000416097248475742,0,0.00018476047730222,0,0,0.999399142274222,0,0,0,0,0,0.870740283067265,0.497058048697484
TCGA-F7-A50I-01A,0.00149324447007065,0,0.0243632275732804,0.00623946827162707,0,0.946071851632709,0,0.00933808750172522,0,0.012494120550588,0,0.651442250488335,0.765824580220541
